iter	Passed	Remaining
0	81	65420
1	166	66308
2	254	67525
3	351	69927
4	442	70305
5	533	70640
6	623	70654
7	720	71300
8	815	71686
9	906	71634
10	993	71267
11	1077	70783
12	1160	70276
13	1243	69837
14	1330	69648
15	1419	69569
16	1524	70235
17	1617	70283
18	1705	70114
19	1794	70004
20	1891	70156
21	1980	70033
22	2066	69816
23	2153	69619
24	2242	69524
25	2329	69352
26	2413	69111
27	2514	69323
28	2603	69213
29	2692	69100
30	2779	68960
31	2869	68877
32	2954	68669
33	3036	68410
34	3119	68194
35	3206	68041
36	3292	67896
37	3379	67762
38	3467	67670
39	3575	67940
40	3663	67816
41	3756	67788
42	3854	67854
43	3939	67690
44	4027	67578
45	4112	67413
46	4195	67214
47	4277	67014
48	4359	66820
49	4442	66630
50	4533	66584
51	4625	66539
52	4717	66483
53	4807	66416
54	4908	66483
55	4994	66350
56	5090	66348
57	5178	66250
58	5271	66204
59	5360	66116
60	5446	65983
61	5542	65978
62	5658	66192
63	5748	66107
64	5841	66058
65	5929	65948
66	6015	65808
67	6100	65665
68	6183	65513
69	6271	65407
70	6361	65313
71	6446	65178
72	6552	65260
73	6642	65168
74	6739	65143
75	6833	65100
76	6923	65009
77	7010	64894
78	7102	64820
79	7185	64669
80	7268	64523
81	7351	64370
82	7433	64218
83	7519	64096
84	7608	63999
85	7696	63900
86	7787	63824
87	7884	63790
88	7971	63684
89	8053	63531
90	8140	63427
91	8239	63406
92	8327	63304
93	8409	63160
94	8503	63105
95	8602	63086
96	8694	63013
97	8781	62904
98	8874	62836
99	8961	62731
100	9045	62601
101	9126	62456
102	9208	62313
103	9291	62183
104	9371	62030
105	9452	61886
106	9544	61817
107	9631	61714
108	9720	61623
109	9813	61554
110	9914	61538
111	9996	61408
112	10086	61320
113	10171	61209
114	10261	61121
115	10347	61015
116	10435	60918
117	10522	60817
118	10615	60749
119	10704	60660
120	10791	60556
121	10882	60478
122	10967	60363
123	11048	60230
124	11129	60097
125	11214	59987
126	11300	59884
127	11386	59778
128	11475	59692
129	11566	59612
130	11657	59533
131	11757	59498
132	11858	59472
133	11941	59350
134	12026	59239
135	12107	59115
136	12207	59076
137	12284	58929
138	12363	58791
139	12444	58668
140	12536	58591
141	12619	58478
142	12709	58390
143	12792	58275
144	12887	58214
145	12973	58114
146	13067	58046
147	13151	57937
148	13238	57841
149	13327	57753
150	13419	57676
151	13511	57600
152	13600	57514
153	13696	57453
154	13789	57381
155	13882	57308
156	13964	57192
157	14046	57073
158	14129	56964
159	14212	56850
160	14292	56725
161	14373	56606
162	14455	56492
163	14546	56413
164	14642	56351
165	14728	56253
166	14828	56206
167	14918	56121
168	15005	56026
169	15095	55942
170	15181	55841
171	15266	55741
172	15351	55639
173	15432	55520
174	15523	55439
175	15608	55338
176	15697	55250
177	15784	55155
178	15873	55068
179	15952	54946
180	16034	54836
181	16124	54753
182	16214	54667
183	16305	54586
184	16396	54506
185	16501	54471
186	16601	54421
187	16697	54357
188	16798	54306
189	16904	54272
190	16998	54198
191	17084	54101
192	17174	54013
193	17261	53918
194	17348	53824
195	17435	53729
196	17524	53641
197	17608	53535
198	17693	53437
199	17780	53341
200	17873	53264
201	17960	53169
202	18047	53074
203	18136	52987
204	18224	52895
205	18316	52814
206	18408	52736
207	18509	52681
208	18602	52603
209	18692	52517
210	18776	52414
211	18869	52336
212	18954	52235
213	19041	52142
214	19124	52036
215	19205	51926
216	19290	51825
217	19380	51740
218	19474	51664
219	19565	51582
220	19654	51494
221	19744	51407
222	19839	51333
223	19926	51239
224	20013	51145
225	20101	51053
226	20198	50986
227	20280	50880
228	20365	50780
229	20450	50681
230	20536	50584
231	20621	50486
232	20704	50384
233	20791	50290
234	20875	50189
235	20957	50085
236	21039	49980
237	21118	49868
238	21200	49763
239	21287	49669
240	21374	49577
241	21469	49503
242	21572	49447
243	21663	49365
244	21759	49292
245	21849	49206
246	21935	49110
247	22016	49005
248	22099	48903
249	22181	48799
250	22263	48695
251	22349	48601
252	22436	48509
253	22526	48422
254	22616	48337
255	22703	48244
256	22795	48163
257	22884	48074
258	22976	47993
259	23062	47899
260	23148	47805
261	23238	47718
262	23324	47624
263	23417	47544
264	23513	47471
265	23601	47379
266	23686	47284
267	23772	47189
268	23866	47111
269	23950	47013
270	24033	46914
271	24117	46815
272	24200	46716
273	24281	46613
274	24374	46532
275	24465	46448
276	24560	46371
277	24647	46280
278	24740	46199
279	24834	46121
280	24919	46025
281	25002	45925
282	25091	45837
283	25176	45743
284	25263	45650
285	25349	45557
286	25431	45457
287	25521	45370
288	25610	45283
289	25695	45189
290	25783	45099
291	25865	44998
292	25947	44899
293	26035	44810
294	26127	44726
295	26212	44632
296	26308	44555
297	26405	44482
298	26519	44435
299	26607	44345
300	26695	44256
301	26779	44158
302	26867	44069
303	26954	43978
304	27038	43882
305	27123	43787
306	27205	43688
307	27291	43595
308	27371	43493
309	27460	43405
310	27547	43314
311	27638	43229
312	27731	43148
313	27829	43073
314	27914	42979
315	28001	42888
316	28089	42798
317	28177	42709
318	28268	42624
319	28348	42523
320	28434	42430
321	28526	42347
322	28622	42268
323	28713	42184
324	28807	42103
325	28899	42018
326	28988	41931
327	29074	41839
328	29167	41756
329	29258	41670
330	29349	41585
331	29446	41508
332	29543	41431
333	29637	41350
334	29728	41264
335	29824	41185
336	29905	41087
337	29987	40989
338	30075	40899
339	30156	40799
340	30238	40702
341	30321	40606
342	30406	40512
343	30494	40422
344	30579	40328
345	30662	40233
346	30747	40140
347	30838	40054
348	30928	39967
349	31010	39870
350	31099	39782
351	31185	39690
352	31274	39602
353	31359	39509
354	31450	39423
355	31540	39337
356	31629	39248
357	31718	39160
358	31816	39084
359	31903	38993
360	31991	38903
361	32075	38810
362	32157	38713
363	32240	38617
364	32321	38520
365	32403	38423
366	32505	38350
367	32595	38264
368	32688	38181
369	32786	38103
370	32877	38017
371	32960	37922
372	33049	37834
373	33130	37737
374	33209	37637
375	33290	37540
376	33369	37441
377	33456	37350
378	33542	37260
379	33631	37171
380	33718	37081
381	33810	36996
382	33901	36910
383	33989	36821
384	34075	36730
385	34161	36639
386	34244	36545
387	34335	36459
388	34422	36369
389	34514	36283
390	34605	36199
391	34693	36109
392	34784	36024
393	34867	35929
394	34951	35836
395	35030	35738
396	35113	35643
397	35192	35546
398	35274	35451
399	35356	35356
400	35439	35263
401	35533	35179
402	35626	35096
403	35715	35008
404	35811	34926
405	35897	34836
406	35983	34745
407	36069	34654
408	36157	34566
409	36237	34469
410	36319	34374
411	36398	34278
412	36486	34189
413	36572	34099
414	36659	34009
415	36743	33917
416	36834	33831
417	36916	33737
418	37002	33646
419	37087	33555
420	37174	33465
421	37266	33380
422	37359	33296
423	37463	33222
424	37556	33138
425	37652	33056
426	37744	32971
427	37839	32888
428	37924	32797
429	38016	32711
430	38102	32621
431	38184	32527
432	38267	32434
433	38354	32345
434	38442	32256
435	38530	32167
436	38615	32076
437	38703	31987
438	38797	31904
439	38884	31814
440	38976	31728
441	39068	31643
442	39157	31555
443	39243	31465
444	39329	31374
445	39418	31287
446	39505	31198
447	39597	31112
448	39687	31025
449	39785	30944
450	39887	30866
451	39987	30786
452	40077	30699
453	40169	30613
454	40266	30532
455	40376	30459
456	40482	30383
457	40595	30313
458	40700	30237
459	40803	30159
460	40907	30081
461	41000	29995
462	41088	29906
463	41182	29821
464	41278	29738
465	41366	29649
466	41465	29567
467	41571	29490
468	41658	29400
469	41753	29316
470	41839	29225
471	41923	29133
472	42011	29044
473	42100	28955
474	42192	28868
475	42281	28779
476	42375	28694
477	42472	28611
478	42565	28525
479	42655	28437
480	42747	28350
481	42835	28260
482	42919	28168
