CONS_NO,g3_score,g3_label,FLAG,user_score,pred_interval_start,pred_interval_end,interval_confidence
0387DD8A07E07FDA6271170F86AD9151,33603.8515625,1,1,0.8773272,10,13,0.188669241964817
01D6177B5D4FFE0CABA9EF17DAFC2B84,41043.375,1,1,0.9770551,33,33,0.6587411165237427
4B75AC4F2D8434CFF62DB64D0BB43103,40127.51171875,1,1,0.9874956,19,19,0.8711097836494446
B32AC8CC6D5D805AC053557AB05F5343,38730.546875,1,1,0.45907724,10,33,0.0327059687891354
EDFC78B07BA2908B3395C4EB2304665E,40915.7734375,1,1,0.9636213,0,0,0.6254355907440186
6BCFD78138BC72A9BA1BFB0B79382192,31379.080078125,1,1,0.9630943,33,33,0.6281377077102661
34C1954AA3703C4F8BD8EAEA7C4B7B83,37281.27734375,1,1,0.54748267,8,20,0.0421789318609696
768309B0EB11FD436CEE5ABFB84F4C0C,39558.11328125,1,1,0.72586566,22,26,0.0757762217894196
D0A186208CE83FBCCF730857C9A75B6F,42183.1484375,1,1,0.87551147,3,24,0.0397570585324005
516954F5FF177CE314656D727FCC66A5,41398.1796875,1,1,0.9874165,2,2,0.8424152731895447
C7952FEE130E744EC8CAA7490F72D3F4,39661.96484375,1,1,0.94282275,9,33,0.0365915417764335
E34D1B467A365835A4A8AAD9395D49AA,38475.30859375,1,1,0.39054593,10,13,0.0703856963664293
9F61C13255D1183B179753742A24BFAD,35319.7265625,1,1,0.6905417,20,21,0.1421232894062996
F1D26619E4BC428924BAF5261F705D18,42218.453125,1,1,0.98847336,33,33,0.8825682401657104
EB2DCE9143BF42A1C7E5E218BB77B6A6,16550.693359375,1,1,0.873892,20,33,0.0596598450127722
E89F2AD4B103F2E2045EE0F4E60429BC,35212.265625,1,1,0.8271223,7,18,0.0541819362260866
441D4A577AAD02F6C003644640C2619C,19237.55078125,1,1,0.15229039,10,15,0.1173838178316752
A9601F29D6AE4544F52BD5CB56426E3F,28663.419921875,1,1,0.31055072,10,17,0.060608166269958
93D2F9BC41BF6CAF05D11345D58C383A,38504.44140625,1,1,0.7997791,6,26,0.0366696642068702
369006719ADC2204345D5A156D19821D,29441.892578125,1,1,0.8363029,32,33,0.2561799436807632
720FAD7A2EA8095703804E9C897F159E,8389.9111328125,1,1,0.077005394,12,16,0.1544841349124908
CFA8145DAF03AEC0B30D415E81F95937,15632.994140625,1,1,0.18354206,11,22,0.0677131951476136
5C897FDAC2DB3B33B1EC83273F5F08C7,27287.1796875,1,1,0.2756113,11,18,0.0559421707876026
78AA6CB5B9C2AF38C3C0707C82834FB5,39337.80859375,1,1,0.942088,32,33,0.3901344090700149
BC0A840A5A34E044B9920F557D9A2111,42330.42578125,1,1,0.98119533,32,32,0.7829917669296265
51EAAC77A3247A422C4BF350D645EB88,41622.3046875,1,1,0.9662063,32,33,0.417049840092659
D9C351E2175E2A50A7B699080D895D32,41292.21484375,1,1,0.77167004,0,9,0.0606859164778143
29682C581F0A0D250A15299ED45ABAAB,41038.67578125,1,1,0.92990994,0,2,0.2738752365112304
1AB6DF6673AF0D809B3FA523C1E7B2D0,41307.125,1,1,0.97497976,32,33,0.431908056139946
CC729BD06C7E8086E700CCCDDDC6D1AA,41973.26171875,1,1,0.94493103,7,32,0.0362055129886497
7343CAADA8D069F90EBED43D7119DE44,40635.47265625,1,1,0.9707098,32,33,0.43284972012043
F6345430CBBC081D1E522D23DC547D42,41716.8671875,1,1,0.99481934,33,33,0.950183629989624
7F8F1912B41BAC18D24EB382D9F3FA75,28008.46484375,1,1,0.33610082,1,21,0.0405360324906983
49A61B0E884F41D891DEB63DB7840CD8,40490.14453125,1,1,0.74697554,19,32,0.0440819045262677
564C77BEBFD6D10631BD7F7AF81D529B,38550.51953125,1,1,0.7582044,8,32,0.033982397634536
DD20733C633A11BBFD99DBF899816B00,39307.6953125,1,1,0.8364992,31,33,0.1896295969684918
A115F9030C968DEBC5618C1359417029,40353.65625,1,1,0.96347946,32,32,0.6608993411064148
6DA2BD4913B637B27F7966BFF2404805,41251.62109375,1,1,0.8823603,28,31,0.1572343881707638
5B214DB7CE265C5F8C644029A1A1076C,11977.958984375,1,1,0.46494338,7,20,0.0385551818513444
4200327E5378E4CFB04D01982540A6CF,41217.140625,1,1,0.9391991,32,32,0.4926123917102813
1BC425A74948B48CED2DD171224E219C,42357.6796875,1,1,0.90566474,5,7,0.2461421241362889
F6C89465277691CB56E0F829D98D8CE3,15568.9453125,1,1,0.13886844,0,16,0.0518095104652114
D04185D24F978E7F06215FA2908F0E15,36122.39453125,1,1,0.97035867,33,33,0.6714322566986084
37BBFCF96C1A9FF4B63BB4B0A3E8C878,38429.8984375,1,1,0.86164474,18,31,0.0618513642943331
2345E491E741D6D60089BA73AE0BFD35,40278.85546875,1,1,0.96779156,26,26,0.626643180847168
0AD91AED502EEC62BDC5A5880CCD9DEB,41361.59375,1,1,0.7985044,7,11,0.1143821716308593
BF58CD54CA0B4E3A8FD1209E09493F77,28726.146484375,1,1,0.30716425,10,16,0.0568871561970029
2784394B34492EF0D868028C887E263C,4266.01513671875,1,1,0.2010809,9,19,0.0622680235484784
8D32642A92C55B4F7C7DE4DD5CD13BAD,37869.4140625,1,1,0.7752291,22,28,0.0645589265872591
89F19286C28AF5EC6B36CAEC408CCCA1,28329.19140625,1,1,0.75971746,24,33,0.0608737711794674
522CD12E4FD07B23C55E2E2F475D4AB0,38567.65234375,1,1,0.8074502,9,25,0.0428431497968952
