CONS_NO,FLAG,user_score,pred_interval_start,pred_interval_end,interval_confidence,att_m01,att_m02,att_m03,att_m04,att_m05,att_m06,att_m07,att_m08,att_m09,att_m10,att_m11,att_m12,att_m13,att_m14,att_m15,att_m16,att_m17,att_m18,att_m19,att_m20,att_m21,att_m22,att_m23,att_m24,att_m25,att_m26,att_m27,att_m28,att_m29,att_m30,att_m31,att_m32,att_m33,att_m34
0387DD8A07E07FDA6271170F86AD9151,1,0.76415265,7,13,0.08971790986834094,0.022145906,0.047724694,0.01363651,0.011846748,0.016734838,0.034150403,0.08381481,0.23677395,0.0008066373,0.0011134084,0.011036428,0.035903785,0.015110696,0.32728046,0.026312795,0.01391679,0.012965443,0.014022155,0.01225068,0.007979085,0.0052395444,0.0048220768,0.0056917276,0.007236467,0.007512313,0.0064732614,0.0030194945,0.002090155,0.002100597,0.003238161,0.0066578356,0.0001434235,0.00013819672,0.00011044388
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,0.98570204,33,33,0.7393842339515686,0.0035825823,0.0024932083,0.0016721911,0.0016835561,0.0018510731,0.0024764119,0.002635066,0.0032294958,0.003774896,0.0034931097,0.0031178526,0.003465214,0.0024326933,0.0018470031,0.0031113876,0.0016781652,0.0020767425,0.0024094058,0.0030515848,0.0037960657,0.0027660353,0.0030685372,0.0037326184,0.0059629013,0.004521438,0.0040867054,0.0063171326,0.0033368254,0.0030360518,0.006783968,0.009498363,0.067052014,0.0865754,0.73938423
4B75AC4F2D8434CFF62DB64D0BB43103,1,0.9566862,19,19,0.5939399600028992,0.011250128,0.025030201,0.008083038,0.010739278,0.009525132,0.011138888,0.008020304,0.0046869274,0.005333653,0.0069807013,0.016215742,0.008342322,0.008631384,0.0056852703,0.0032638514,0.007847046,0.0075616557,0.006137253,0.06442481,0.59393996,0.05080463,0.0084298905,0.010736161,0.018062154,0.00786631,0.003925707,0.005065912,0.0030340215,0.004837529,0.00488811,0.006808922,0.010141423,0.032475904,0.010085824
B32AC8CC6D5D805AC053557AB05F5343,1,0.6063156,25,28,0.08494397206231952,0.022298997,0.019116808,0.01615811,0.016076414,0.018540317,0.025279151,0.042746898,0.040705975,0.022529857,0.014760491,0.014420404,0.015729222,0.016703177,0.018988868,0.015235079,0.012982202,0.014736113,0.020937908,0.023995543,0.02250446,0.018312724,0.017139293,0.017046817,0.019036664,0.029146176,0.16565497,0.020471124,0.054407015,0.09924278,0.042349312,0.030165039,0.02694687,0.014062066,0.03157314
EDFC78B07BA2908B3395C4EB2304665E,1,0.93893474,0,0,0.5699619054794312,0.5699619,0.029847402,0.006631186,0.0062832464,0.0047590723,0.004483061,0.003927214,0.0031882324,0.002830655,0.003341161,0.0045951437,0.0059864423,0.006413973,0.005292356,0.0039627976,0.0032134496,0.0031375613,0.0034945959,0.003905762,0.0039765076,0.0039201346,0.003786934,0.003603261,0.0037106522,0.0027597891,0.0038797087,0.035889573,0.010582981,0.0032774105,0.0023245704,0.0017844591,0.002937122,0.11713338,0.12517834
6BCFD78138BC72A9BA1BFB0B79382192,1,0.8795135,18,33,0.05455705031636171,0.004002119,0.0033722715,0.0040416615,0.0045078644,0.011509558,0.007250835,0.0041228877,0.003692032,0.00883239,0.00830006,0.008744227,0.008921065,0.008234813,0.00554822,0.009736318,0.007708541,0.007637198,0.010925055,0.11737067,0.036386758,0.0063782786,0.006744435,0.005107545,0.008944439,0.008692349,0.011203757,0.0040071295,0.013886404,0.21754535,0.018542983,0.011473149,0.11847505,0.028089402,0.2600651
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,0.7382635,8,33,0.03379158974768451,0.014392919,0.0072194836,0.0067027328,0.024690265,0.03789151,0.0042632637,0.0066990745,0.019559415,0.068830185,0.08499701,0.010722963,0.006566438,0.0062829973,0.0066120564,0.015962232,0.012130318,0.007059505,0.021036725,0.009610479,0.07833076,0.030344432,0.025301594,0.023305435,0.017715693,0.020955816,0.016462622,0.006075407,0.0041163466,0.011561418,0.119396955,0.020077014,0.13402903,0.014277796,0.1068201
768309B0EB11FD436CEE5ABFB84F4C0C,1,0.6699997,26,26,0.20537158846855164,0.032785077,0.030689498,0.030767085,0.013518818,0.011380073,0.011550896,0.014601151,0.014335449,0.010680257,0.0227578,0.01468676,0.014954319,0.029761188,0.0289359,0.017170517,0.01624849,0.057027634,0.020888297,0.024747895,0.020307971,0.018286588,0.021987144,0.04039053,0.015299977,0.021937085,0.024389926,0.20537159,0.04659759,0.036194228,0.015647182,0.01924918,0.021412592,0.04354994,0.03189147
D0A186208CE83FBCCF730857C9A75B6F,1,0.83884686,0,6,0.11066135670989752,0.17015734,0.07969803,0.10106076,0.14053278,0.015093424,0.11544254,0.15264462,0.01986478,0.026939817,0.005585683,0.010299527,0.014720064,0.0045070183,0.0064617326,0.018174877,0.011821945,0.009776208,0.0053810817,0.0049664946,0.0032649743,0.003224512,0.0031295088,0.0033805596,0.0047724205,0.019244464,0.0023218258,0.0037473603,0.007152675,0.006804017,0.0034475746,0.003319791,0.0060052695,0.011531969,0.005524312
516954F5FF177CE314656D727FCC66A5,1,0.9863644,2,2,0.88829106092453,0.0041677537,0.03746363,0.88829106,0.003842282,0.0005197165,0.0003065754,0.00033893116,0.00036830435,0.00030184197,0.0002149571,0.00021868352,0.00024638654,0.00023831415,0.00019963534,0.00016698876,0.00015698202,0.00017318752,0.00023682133,0.000286547,0.00028278813,0.00028600043,0.00033280856,0.00041154263,0.00066116423,0.0019786456,0.017873999,0.0018847043,0.0050357184,0.0063101277,0.0016390726,0.00070040685,0.0040993155,0.014580585,0.0061846036
C7952FEE130E744EC8CAA7490F72D3F4,1,0.8564643,3,31,0.030567180582097377,0.012344432,0.022560101,0.014320502,0.2718561,0.011510686,0.1404674,0.00888886,0.002398356,0.007288837,0.14720942,0.011506778,0.004289265,0.0030390262,0.0025675823,0.0029109465,0.0041875313,0.004593541,0.0044327937,0.0046140403,0.004599544,0.0044703945,0.0043535964,0.0038501376,0.003806596,0.00488409,0.005445436,0.02044153,0.04009866,0.055111744,0.012636142,0.0104824705,0.08450673,0.015983583,0.04834309
E34D1B467A365835A4A8AAD9395D49AA,1,0.7215887,10,12,0.16444717844327292,0.011417322,0.012542471,0.010808565,0.00927516,0.008565383,0.007812662,0.009832834,0.021969248,0.0565128,0.0061644604,0.21302618,0.15274158,0.12757377,0.05021683,0.006302121,0.0049186256,0.006945678,0.012527263,0.01359207,0.011416595,0.009541747,0.010216249,0.012679917,0.01582024,0.014909085,0.011404204,0.009156756,0.006185596,0.010006775,0.035305243,0.051018953,0.052691653,0.0014402377,0.005461688
9F61C13255D1183B179753742A24BFAD,1,0.773791,20,30,0.05062058140439066,0.0059971837,0.006946695,0.017247248,0.010498431,0.010113827,0.008898076,0.011692051,0.006408509,0.0065572453,0.06807763,0.010995744,0.028602695,0.008165657,0.008369446,0.008472509,0.007564426,0.04885816,0.034335725,0.04157222,0.012171934,0.09508227,0.085045844,0.04225272,0.02082727,0.011094416,0.009049269,0.024257634,0.011127687,0.01736239,0.00750057,0.23322633,0.032579444,0.03783271,0.011216027
F1D26619E4BC428924BAF5261F705D18,1,0.983256,33,33,0.7610383033752441,0.0034450043,0.0036834024,0.002818015,0.0023456644,0.0021000027,0.0021689897,0.002456651,0.0036509407,0.0038179355,0.009428265,0.005657687,0.010901453,0.011829421,0.006166765,0.0045926054,0.037530597,0.015875278,0.016214311,0.032079898,0.0043198955,0.0035599172,0.0029803512,0.003903065,0.0059390236,0.0045024925,0.0037609655,0.0025796823,0.002194439,0.0018926269,0.0019445759,0.003427044,0.0019348761,0.019259792,0.7610383
EB2DCE9143BF42A1C7E5E218BB77B6A6,1,0.3252538,10,21,0.046438634706040226,0.022036763,0.01247155,0.014539326,0.024051903,0.027530106,0.01623963,0.03210866,0.01650284,0.009973261,0.014941651,0.057385,0.061139278,0.06261067,0.07885999,0.048087515,0.055571217,0.04833105,0.017339315,0.026317704,0.018601771,0.033968568,0.049051534,0.044569142,0.03378428,0.034915328,0.023518678,0.02671311,0.016962415,0.014452124,0.014622073,0.011794042,0.016289875,0.0036336863,0.011085891
E89F2AD4B103F2E2045EE0F4E60429BC,1,0.8900497,7,9,0.1999237909913063,0.007982036,0.009637048,0.016011495,0.014338175,0.020998165,0.01812844,0.07422163,0.21658503,0.2799501,0.103236236,0.012049915,0.0061057075,0.013111419,0.010656019,0.004612624,0.0026398888,0.00394,0.012705272,0.048789278,0.010359935,0.0063694688,0.007361778,0.008008995,0.0056618494,0.012942561,0.0055221273,0.008602601,0.0032580157,0.004408582,0.0032317708,0.020264942,0.0088723255,0.011477045,0.007959515
441D4A577AAD02F6C003644640C2619C,1,0.2219253,9,15,0.07863106365714755,0.010029069,0.01695237,0.012470529,0.020810785,0.029425021,0.034104936,0.029857423,0.04650128,0.017584655,0.07055786,0.09172109,0.05111543,0.10298021,0.071131386,0.08545994,0.07745153,0.012983877,0.039252892,0.01722214,0.014841562,0.016618192,0.020277755,0.025077363,0.0012203286,0.027542645,0.01549551,0.012322576,0.008566005,0.0131106,0.00035385086,0.0003368709,0.0003206741,0.0021750887,0.004128599
A9601F29D6AE4544F52BD5CB56426E3F,1,0.57632464,0,25,0.032653828867926046,0.057220303,0.08656599,0.007893867,0.012240648,0.036150463,0.013893231,0.020266838,0.037956953,0.032726407,0.034681305,0.021442067,0.023884023,0.02133276,0.053440776,0.026637634,0.021606082,0.016489543,0.01729037,0.033498555,0.0846711,0.031158421,0.020573402,0.019645719,0.019155689,0.039168365,0.05940904,0.014889653,0.02609812,0.03285562,0.008728379,0.014383829,0.0214611,0.021207366,0.011376312
