CONS_NO,FLAG,ss_rec_mean,ss_rec_max,ss_pred_mean,ss_pred_max,ss_rec_scale_mean,ss_rec_scale_max,ss_pred_scale_mean,ss_pred_scale_max,ss_rec_ref_pct,ss_pred_ref_pct,ss_rec_ref_z,ss_pred_ref_z,ss_rec_late_mean,ss_pred_late_mean,ss_latent_dist,ss_cluster_latent_dist,ss_cluster_latent_ref_pct,ss_nearest_proto,ss_top_month,ss_top_month_score,ss_abnormal_month_count,ss_max_consec_abnormal_months,ss_combined_score
0387DD8A07E07FDA6271170F86AD9151,1,244988.8,2.7728328e+06,245316.81,2.7755562e+06,9.6786995,109.54548,9.650582,109.188354,0.9878216,0.98779577,559774.0,745108.56,25450.115,25561.705,11.140275,1.0514085,0.49253038,1,9,5.548389e+06,2,2,0.530793267073073
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,1.587852,11.286337,1.0853397,7.461792,2.0624297,14.659599,1.7484818,12.020943,0.8757902,0.8402095,1.9902613,1.7212903,3.054817,1.9852122,5.4734674,2.212668,0.93908197,3,32,18.748129,2,2,0.38226177840391445
4B75AC4F2D8434CFF62DB64D0BB43103,1,1.0981754,6.129898,0.7584805,4.839752,1.1235596,6.27159,1.4259567,9.09882,0.75498617,0.70763993,0.8713978,0.7285085,0.96711755,0.5632975,2.466021,1.1439846,0.5766958,5,18,10.96965,1,1,0.29252045298532325
B32AC8CC6D5D805AC053557AB05F5343,1,2.4519895e+06,2.7601558e+07,2.4533658e+06,2.7609064e+07,6.5715213,73.97431,6.567106,73.903244,0.9973424,0.9973424,5.6025565e+06,7.4517005e+06,6.263272e+06,6.2662985e+06,11.144753,1.1585114,0.5892097,1,31,5.5210624e+07,2,2,0.9414522852371393
EDFC78B07BA2908B3395C4EB2304665E,1,1.0822512,3.5421393,0.935307,3.6690376,3.0766792,10.069776,3.8054795,14.928199,0.7479423,0.7907991,0.8350125,1.2655904,1.8372666,1.5431947,2.13044,1.4205996,0.743814,5,1,6.787327,2,2,0.32796806466184686
6BCFD78138BC72A9BA1BFB0B79382192,1,0.9331674,3.1514952,0.72417384,4.4136133,1.0722145,3.6210852,1.4317447,8.726037,0.6683696,0.6870501,0.49437052,0.6243076,1.4936191,1.2515105,2.0153708,0.74571466,0.1727946,7,33,7.5651083,1,1,0.21803797580386333
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,0.7722723,1.8379617,0.51014286,1.6766684,1.0937388,2.6030328,1.1507957,3.7822793,0.54981035,0.4886859,0.12674081,-0.025776943,1.0201147,0.61940116,2.5737066,0.8341339,0.23771189,5,6,3.3449068,2,1,0.1812987452792957
768309B0EB11FD436CEE5ABFB84F4C0C,1,0.521886,1.8970696,0.35607076,2.096384,1.4998093,5.4518466,1.7557244,10.336913,0.30675748,0.27610496,-0.44536757,-0.49374607,0.43235245,0.29246762,2.6793633,0.5419249,0.05877648,7,19,3.9934535,2,1,0.08880601448938387
D0A186208CE83FBCCF730857C9A75B6F,1,0.89764285,2.232,0.7155605,2.3293052,0.99425125,2.4722178,1.2893366,4.1970716,0.64476097,0.6812705,0.41320038,0.5981459,0.7175203,0.5624385,1.675255,0.8764222,0.27486646,0,1,4.4831963,2,1,0.22862710735823302
516954F5FF177CE314656D727FCC66A5,1,0.8236484,4.5840573,0.64726514,4.613831,1.5483134,8.617217,2.057993,14.669769,0.5917383,0.6333824,0.24413022,0.3907098,0.95704913,0.7786856,5.978753,1.46316,0.7622365,3,2,9.197888,1,1,0.2849348894807829
C7952FEE130E744EC8CAA7490F72D3F4,1,1.8793205,5.952535,1.3749505,5.2847905,1.2769527,4.0446033,1.6255995,6.248191,0.8891555,0.87684804,2.6562386,2.6009367,2.674508,2.0597525,1.584068,1.7215039,0.85122687,0,30,11.237326,2,1,0.37674910139700757
E34D1B467A365835A4A8AAD9395D49AA,1,5069.915,81648.84,5123.038,82272.664,11.887579,191.44444,11.851724,190.33101,0.9617875,0.96209717,11582.626,15558.825,3472.3586,3520.3396,11.099561,0.46947894,0.03403256,1,9,163921.5,2,1,0.2857933430333167
